date,produit,region,qte_tonne,px_min,px_max,px_moyen,spread,source_dataset
2020-10-25,huile_olive,centre,3,1000,1020,1010,20,dataset_3
2020-10-25,huile_olive,nord,2,1420,1420,1420,0,dataset_3
2020-10-25,huile_olive,sfax,16,900,1050,975,150,dataset_3
2020-10-25,huile_olive,sud,2,1300,1300,1300,0,dataset_3
2020-10-26,huile_olive,nord,2,1450,1450,1450,0,dataset_3
2020-10-26,huile_olive,sud,2,1300,1300,1300,0,dataset_3
2020-10-27,huile_olive,centre,3,1100,1200,1150,100,dataset_3
2020-10-28,huile_olive,sud,2,1320,1320,1320,0,dataset_3
2020-10-29,huile_olive,centre,3,1200,1200,1200,0,dataset_3
2020-10-29,huile_olive,sud,2,1280,1280,1280,0,dataset_3
2020-10-31,huile_olive,centre,3,830,1350,1090,520,dataset_3
2020-10-31,huile_olive,nord,3,1350,1350,1350,0,dataset_3
2020-10-31,huile_olive,sfax,3,900,1000,950,100,dataset_3
2020-11-01,huile_olive,centre,3,1000,1200,1100,200,dataset_3
2020-11-01,huile_olive,sahel,3,900,1000,950,100,dataset_3
2020-11-01,huile_olive,sfax,4,950,1100,1025,150,dataset_3
2020-11-02,huile_olive,centre,5,950,1200,1075,250,dataset_3
2020-11-02,huile_olive,sahel,2,1000,1000,1000,0,dataset_3
2020-11-02,huile_olive,sfax,6,1000,1150,1075,150,dataset_3
2020-11-02,huile_olive,sud,2,1300,1300,1300,0,dataset_3
2020-11-03,huile_olive,centre,6,1300,1660,1480,360,dataset_3
2020-11-03,huile_olive,sfax,8,1000,1350,1175,350,dataset_3
2020-11-04,huile_olive,centre,2,1500,1500,1500,0,dataset_3
2020-11-04,huile_olive,nord,8,1250,1550,1400,300,dataset_3
2020-11-04,huile_olive,sahel,9,1000,1040,1020,40,dataset_3
2020-11-05,huile_olive,centre,5,1200,1450,1325,250,dataset_3
2020-11-05,huile_olive,nord,6,1420,1550,1485,130,dataset_3
2020-11-05,huile_olive,sahel,6,1020,1050,1035,30,dataset_3
2020-11-05,huile_olive,sfax,3,1000,1150,1075,150,dataset_3
2020-11-05,huile_olive,sud,2,1370,1370,1370,0,dataset_3
2020-11-06,huile_olive,centre,6,1300,1550,1425,250,dataset_3
2020-11-06,huile_olive,nord,5,1300,1600,1450,300,dataset_3
2020-11-06,huile_olive,sahel,5,1040,1350,1195,310,dataset_3
2020-11-06,huile_olive,sfax,5,1060,1200,1130,140,dataset_3
2020-11-06,huile_olive,sud,8,1400,1430,1415,30,dataset_3
2020-11-08,huile_olive,centre,3,1200,1300,1250,100,dataset_3
2020-11-08,huile_olive,nord,6,1200,1500,1350,300,dataset_3
2020-11-08,huile_olive,sahel,5,1020,1050,1035,30,dataset_3
2020-11-08,huile_olive,sfax,9,1100,1120,1110,20,dataset_3
2020-11-08,huile_olive,sud,5,1170,1320,1245,150,dataset_3
2020-11-09,huile_olive,centre,11,1100,1550,1325,450,dataset_3
2020-11-09,huile_olive,sahel,2,1050,1050,1050,0,dataset_3
2020-11-09,huile_olive,sfax,20,1020,1200,1110,180,dataset_3
2020-11-09,huile_olive,sud,2,1450,1450,1450,0,dataset_3
2020-11-10,huile_olive,centre,6,1150,1250,1200,100,dataset_3
2020-11-10,huile_olive,nord,2,1350,1350,1350,0,dataset_3
2020-11-10,huile_olive,sahel,9,1050,1070,1060,20,dataset_3
2020-11-10,huile_olive,sfax,14,1050,1370,1210,320,dataset_3
2020-11-10,huile_olive,sud,5,1200,1300,1250,100,dataset_3
2020-11-11,huile_olive,centre,11,1000,1500,1250,500,dataset_3
2020-11-11,huile_olive,nord,4,1500,1500,1500,0,dataset_3
2020-11-11,huile_olive,sahel,12,1050,1100,1075,50,dataset_3
2020-11-11,huile_olive,sfax,12,1160,1350,1255,190,dataset_3
2020-11-11,huile_olive,sud,4,1370,1500,1435,130,dataset_3
2020-11-12,huile_olive,centre,9,1000,1550,1275,550,dataset_3
2020-11-12,huile_olive,nord,4,1400,1600,1500,200,dataset_3
2020-11-12,huile_olive,sahel,9,1060,1100,1080,40,dataset_3
2020-11-12,huile_olive,sfax,14,1070,1550,1310,480,dataset_3
2020-11-12,huile_olive,sud,2,1400,1600,1500,200,dataset_3
2020-11-13,huile_olive,centre,9,1000,1420,1210,420,dataset_3
2020-11-13,huile_olive,nord,2,1300,1470,1385,170,dataset_3
2020-11-13,huile_olive,sahel,5,1030,1100,1065,70,dataset_3
2020-11-13,huile_olive,sfax,20,1000,1300,1150,300,dataset_3
2020-11-14,huile_olive,centre,8,1000,1500,1250,500,dataset_3
2020-11-14,huile_olive,nord,6,1550,1550,1550,0,dataset_3
2020-11-14,huile_olive,sahel,6,1060,1070,1065,10,dataset_3
2020-11-14,huile_olive,sfax,15,1060,1450,1255,390,dataset_3
